start_date,end_date,speciesManagement,port,pounds,value
011989,121989,Groundfish,Crescent City,23471587.0,$3872738.975
011989,121989,Marine State Managed Invertebrates,Crescent City,15350218.83,$8169153.9742
011989,121989,Highly Migratory Species (HMS),Crescent City,104386.4,$87650.596
011989,121989,Inland State Managed Species,Crescent City,-1.0,$-1.0
011989,121989,Nearshore Fishery Management Plan Species,Crescent City,-1.0,$-1.0
011989,121989,Marine State Managed Fish,Crescent City,325412.67,$120257.9855
011990,121990,Coastal Pelagic Species (CPS),Crescent City,-1.0,$-1.0
011989,121989,Salmon,Crescent City,131314.0,$293549.4
011990,121990,Groundfish,Crescent City,17851800.0,$3108999.6615
011990,121990,Marine State Managed Invertebrates,Crescent City,12714173.55,$10833443.9285
011990,121990,Nearshore Fishery Management Plan Species,Crescent City,7326.0,$2349.7
011990,121990,Highly Migratory Species (HMS),Crescent City,106335.0,$196297.35
011990,121990,Marine State Managed Fish,Crescent City,410955.05,$147223.1725
011991,121991,Groundfish,Crescent City,18229433.31,$2876259.3484
011991,121991,Highly Migratory Species (HMS),Crescent City,117459.0,$211416.0
011990,121990,Salmon,Crescent City,20504.0,$55821.254
011991,121991,Nearshore Fishery Management Plan Species,Crescent City,3637.0,$991.6
011991,121991,Marine State Managed Fish,Crescent City,587570.0,$175146.648
011991,121991,Marine State Managed Invertebrates,Crescent City,11223892.73,$7540913.9854
011991,121991,Salmon,Crescent City,4025.0,$8611.164
011992,121992,Highly Migratory Species (HMS),Crescent City,1124051.5,$1745304.815
011992,121992,Marine State Managed Fish,Crescent City,672303.0,$163180.515
011992,121992,Groundfish,Crescent City,15737492.29,$2896823.7711
011992,121992,Marine State Managed Invertebrates,Crescent City,21711042.0,$10866954.84
011993,121993,Coastal Pelagic Species (CPS),Crescent City,-1.0,$-1.0
011993,121993,Groundfish,Crescent City,12250352.75,$2703285.8735
011992,121992,Nearshore Fishery Management Plan Species,Crescent City,3009.0,$673.59
011992,121992,Salmon,Crescent City,-1.0,$-1.0
011993,121993,Highly Migratory Species (HMS),Crescent City,1525677.84,$1984602.402
011993,121993,Marine State Managed Fish,Crescent City,342187.0,$85698.04
011993,121993,Marine State Managed Invertebrates,Crescent City,13043465.05,$9173477.4075
011993,121993,Nearshore Fishery Management Plan Species,Crescent City,838.0,$286.37
011993,121993,Salmon,Crescent City,3061.0,$3139.176
011994,121994,Coastal Pelagic Species (CPS),Crescent City,175.0,$40.16
011994,121994,Groundfish,Crescent City,11470709.11,$2377225.8186
011994,121994,Marine State Managed Fish,Crescent City,610389.0,$179114.725
011994,121994,Highly Migratory Species (HMS),Crescent City,996195.0,$1329276.53
011994,121994,Marine State Managed Invertebrates,Crescent City,15844448.24,$14333080.6805
011994,121994,Other,Crescent City,-1.0,$-1.0
011994,121994,Nearshore Fishery Management Plan Species,Crescent City,321.0,$125.63
011994,121994,Salmon,Crescent City,-1.0,$-1.0
011995,121995,Coastal Pelagic Species (CPS),Crescent City,-1.0,$-1.0
011995,121995,Highly Migratory Species (HMS),Crescent City,199735.0,$201294.72
011995,121995,Groundfish,Crescent City,14120571.54,$3786655.2725
011995,121995,Marine State Managed Fish,Crescent City,849045.16,$288673.278
011995,121995,Nearshore Fishery Management Plan Species,Crescent City,958.32,$532.825
011995,121995,Salmon,Crescent City,5024.0,$6907.25
011995,121995,Marine State Managed Invertebrates,Crescent City,6731532.99,$7177972.885
011996,121996,Highly Migratory Species (HMS),Crescent City,689718.8,$602452.803
011996,121996,Groundfish,Crescent City,11996386.3,$3558004.6305
011996,121996,Marine State Managed Invertebrates,Crescent City,12740524.88,$12082806.6275
011996,121996,Marine State Managed Fish,Crescent City,934537.97,$379858.4125
011996,121996,Nearshore Fishery Management Plan Species,Crescent City,1235.04,$571.624
011996,121996,Salmon,Crescent City,2680.0,$4527.05
011997,121997,Coastal Pelagic Species (CPS),Crescent City,15547.1,$775.9
